date,ra,dec,expnum,exptime,band,ccd,mag,ml_score,objid,fakeid
2014/11/3 07:38:27,2:58:22.23,-10:47:46.7,374608,90.0,g,10,23.6,0.87,29471684,0
2014/10/28 08:03:22,2:59:04.88,-10:43:44.8,372225,90.0,i,40,23.44,0.757,29041484,0
2014/10/23 08:20:02,2:59:39.40,-10:39:54.5,370734,90.0,i,55,23.06,0.83,28869833,0
2014/10/23 08:22:00,2:59:39.41,-10:39:54.7,370735,90.0,r,34,23.06,0.893,28928859,0
2014/10/21 08:37:50,2:59:52.80,-10:38:16.1,369941,90.0,i,7,22.47,0.933,28813385,0
2014/10/21 08:31:55,2:59:52.84,-10:38:15.9,369938,90.0,g,34,23.69,0.872,28632960,0
2015/12/17 04:35:15,3:08:22.75,-10:13:11.3,502705,90.0,r,11,22.82,0.861,31619604,0
2015/12/17 04:37:16,3:08:22.73,-10:13:11.4,502706,90.0,g,11,23.72,0.87,31653054,0
